,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Esperance,-33.8667,121.9,69.8,43,2,12.66,AU,1610342210
1,Thompson,55.7435,-97.8558,8.6,85,75,2.3,CA,1610342110
2,Punta Arenas,-53.15,-70.9167,39.2,70,0,14.97,CL,1610342165
3,Saint Anthony,45.0205,-93.218,26.6,80,90,6.91,US,1610342212
4,Port Alfred,-33.5906,26.891,69.01,85,96,1.99,ZA,1610342213
5,Mount Gambier,-37.8333,140.7667,95.0,14,100,27.63,AU,1610342213
6,Lorengau,-2.0226,147.2712,84.65,67,18,3.6,PG,1610342214
7,Beloha,-25.1667,45.05,82.74,61,0,9.51,MG,1610342214
8,Rikitea,-23.1203,-134.9692,78.24,79,35,18.03,PF,1610342215
9,Atuona,-9.8,-139.0333,77.56,81,91,15.37,PF,1610342216
10,Jamestown,42.097,-79.2353,24.01,93,1,4.61,US,1610342170
11,Kosh-Agach,50.0,88.6667,5.16,90,100,1.86,RU,1610342217
12,Beringovskiy,63.05,179.3167,-21.08,84,7,14.03,RU,1610342218
13,Hermanus,-34.4187,19.2345,68.0,78,28,8.01,ZA,1610341982
15,Busselton,-33.65,115.3333,80.01,38,1,1.99,AU,1610342220
17,Gobabis,-22.45,18.9667,66.7,89,100,11.81,NA,1610342222
18,Kahului,20.8947,-156.47,75.2,64,40,13.8,US,1610342223
19,Zabul Province,32.25,67.25,35.87,53,0,3.96,AF,1610342224
20,Bethel,41.3712,-73.414,26.01,86,1,3.24,US,1610342224
21,Ushuaia,-54.8,-68.3,41.0,65,75,23.02,AR,1610342181
22,Khatanga,71.9667,102.5,-7.37,91,100,13.18,RU,1610342225
23,Den Helder,52.9599,4.7593,43.0,87,90,19.57,NL,1610342226
24,Allāpalli,19.4167,80.0667,87.69,33,3,0.83,IN,1610342227
25,Mahébourg,-20.4081,57.7,82.4,94,40,16.11,MU,1610342227
26,Riyadh,24.6877,46.7219,51.8,62,0,4.32,SA,1610341955
27,Vaini,-21.2,-175.2,82.4,78,75,6.91,TO,1610342228
30,Mosquera,4.7059,-74.2302,53.6,87,75,3.44,CO,1610342230
31,Saint George,37.1041,-113.5841,35.01,40,1,4.61,US,1610342231
32,Saint Paul Harbor,57.79,-152.4072,35.6,87,90,9.22,US,1610342232
33,Vila Velha,-20.3297,-40.2925,77.0,88,75,5.75,BR,1610342233
34,Tocopilla,-22.092,-70.1979,68.0,69,57,5.77,CL,1610342233
35,Cururupu,-1.8283,-44.8683,74.88,93,11,3.2,BR,1610342234
